country,date,cases
Malawi,2021-03-01,32008.0
Malawi,2021-04-01,33584.0
Malawi,2021-05-01,34095.0
Malawi,2021-06-01,34346.0
Malawi,2021-07-01,36359.0
Malaysia,2021-01-01,115078.0
Malaysia,2021-02-01,219173.0
Malaysia,2021-03-01,302580.0
Malaysia,2021-04-01,346678.0
Malaysia,2021-05-01,411594.0
Malaysia,2021-06-01,579462.0
Malaysia,2021-07-01,758967.0
Maldives,2021-01-01,13804.0
Maldives,2021-02-01,16056.0
Maldives,2021-03-01,19979.0
Maldives,2021-04-01,24379.0
Maldives,2021-05-01,30237.0
Maldives,2021-06-01,65164.0
Maldives,2021-07-01,73931.0
Mali,2021-01-01,7203.0
Mali,2021-02-01,8100.0
Mali,2021-03-01,8390.0
Mali,2021-04-01,10199.0
Mali,2021-05-01,13896.0
Mali,2021-06-01,14271.0
Mali,2021-07-01,14428.0
Malta,2021-01-01,12909.0
Malta,2021-02-01,18027.0
Malta,2021-03-01,22657.0
Malta,2021-04-01,29085.0
Malta,2021-05-01,30307.0
Malta,2021-06-01,30543.0
Malta,2021-07-01,30627.0
Marshall Islands,2021-01-01,4.0
Marshall Islands,2021-02-01,4.0
Marshall Islands,2021-03-01,4.0
